line	kind	requirement	status	valid	issue	evidence
26	requirement	Source ledger	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/docs/source_ledger.md`
27	requirement	Environment plan	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/docs/environment_plan.md`; `/mnt/infini-data/test/BeyondMimic/reproduction/docs/environment.md`; `/mnt/infini-data/test/BeyondMimic/res/setup/bm_diffusion_env_audit/bm_diffusion_env_audit.json`; `/mnt/infini-data/test/BeyondMimic/res/setup/env_probe/env_import_probe.json` records clean conda prefix recovery for `bm_analysis`, `bm_tracking`, and `bm_diffusion` under `ROOT/envs` with exported locks. Basic imports pass for NumPy/pandas/matplotlib/SciPy/PyYAML/tqdm/ONNX Runtime in each prefix; `bm_diffusion` passes Torch CUDA smoke with `CUDA_VISIBLE_DEVICES=5,6` and sees two NVIDIA H20 GPUs. IsaacLab import remains blocked and full Kit/training smoke remains tracked separately.
28	requirement	Resolved config manifest	partial	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/resolved_reproduction_config.py` consolidates paper/source-aligned settings into `/mnt/infini-data/test/BeyondMimic/res/config/resolved_reproduction_config.json`, `.yaml`, and `.csv`: tracking 50 Hz/PPO config/target bodies, VAE latent and architecture/training constants, diffusion history/horizon/Transformer/training schedule, GPU policy, run status schema, and formula package metadata. It is a config contract, not proof of full training or paper metrics.
29	requirement	Artifact hash manifest	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/artifact_manifest.py` writes `/mnt/infini-data/test/BeyondMimic/res/artifact_manifest/artifact_manifest.json` and `.tsv` atomically, hashing current key raw-source, environment, config, code-audit, run-log, paper-audit, tracking, Level C, comparison, final-report, and documentation artifacts with zero missing files. It includes takeover/environment import probes, the Level-B local tracking smoke runner, patcher, generated manifest, and generated `csv_to_npz_local.py`/`replay_npz_local.py`/`train_local.py` scripts. This improves traceability but does not create missing trained checkpoints/videos/deployment outputs.
30	requirement	Experiment protocol	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/docs/experiment_protocol.md` documents Phase 0-10 execution gates, global no-fabrication rules, run directory contract, failure handling, the current official G1 USD conversion/replay boundary, retained historical Kit/inotify evidence, and final-report separation rules. `/mnt/infini-data/test/BeyondMimic/res/docs/experiment_protocol_audit/experiment_protocol_audit.json` verifies 19 required protocol patterns with zero missing rows.
31	requirement	Top-level README	complete	True		`/mnt/infini-data/test/BeyondMimic/README.md` is the workspace entry point and `/mnt/infini-data/test/BeyondMimic/res/docs/readme_audit/readme_audit.json` verifies 19 required entry-point patterns with zero missing rows: current incomplete status, key evidence links, rerun commands, blockers, raw download read-only rule, no-fabrication rule, and failed-run retention rule.
32	requirement	Paper parameter map	complete	True		Complete for tracking/static evidence: `/mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_parameter_map.md`; G1 `B_target`/anchor extracted from official code; live rollout evidence is still blocked separately.
33	requirement	Paper-source figure/table/formula coverage audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/paper_source_coverage/paper_source_coverage_audit.json` indexes 10 LaTeX figures, 8 LaTeX tables, and key method/formula claims with evidence or blocked/debug-only status.
34	requirement	Download source integrity audit	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/download_source_integrity_audit.py` reads the raw download manifest and writes `/mnt/infini-data/test/BeyondMimic/res/source_integrity/download_source_integrity/download_source_integrity_audit.json`, `.tsv`, and required-path TSV. The audit indexes `6391` manifest rows totaling `6577530557` bytes and hashes `17` required paper/official/dependency/manifest files plus `8` reference-code README files. It verifies the downloaded paper PDF/source tar, official BeyondMimic dataset zip, LAFAN retargeting metadata, whole-body tracking and motion-tracking controller source, Unitree description archive, IsaacLab/rsl_rl/unitree dependency snapshots, Zenodo/resource/git/download manifests, and supplemental manifest. This proves raw source-bundle provenance, not missing trained checkpoints, Fig. 5/6 data, videos, TensorRT engines, ROS deployment, or hardware results.
35	requirement	Paper LaTeX inventory audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/paper_latex_inventory/paper_latex_inventory_audit.json` automatically inventories the local paper LaTeX source: `5` TeX files hashed, `51` section headings, `8` equation blocks, `10` figures, `8` tables, and `14` key experiment-setting statements with zero missing expected settings. Equation topics are state representation `3`, OU perturbation `1`, joystick cost `1`, waypoint cost `1`, SDF obstacle cost `1`, and SDF barrier function `1`; TSV outputs list equations, figures, tables, and experiment settings.
36	requirement	Paper formula/code trace audit	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/paper_formula_code_trace_audit.py` writes `/mnt/infini-data/test/BeyondMimic/res/paper_formula_code_trace/paper_formula_code_trace_audit.json` and `.tsv`, mapping paper equations/settings/table values to local code and evidence. It records `11` trace rows with zero missing evidence paths, covering `8` LaTeX equations, `14` experiment settings, `58` table-value rows with zero mismatches, `20` core-test checklist items, `23` core math test rows, `29` reimplementation API symbols, and `8` package API tests. New checks require the goal-metric API contracts, metric helper symbols, and core metric tests to remain present. Status counts are `covered_debug_formula=6`, `covered_debug_architecture=2`, `covered_static_source=1`, `covered_protocol_only=1`, and `indexed_blocked_or_partial=1`. This strengthens formula/source-to-code traceability without claiming full training, deployment, Fig. 5/Fig. 6, or video reproduction.
37	requirement	Paper PDF/source consistency audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/paper_pdf_source_consistency/paper_pdf_source_consistency_audit.json` verifies the downloaded paper PDF and source tar against the extracted LaTeX evidence: `59` PDF pages, `59` text-extracted pages, `20/20` PDF anchors present for key paper settings/claims, `19/19` expected source-tar members present, `19/19` extracted members present, and `0` unexpected tar file members. This confirms raw PDF/source integrity for the audit chain, not paper-level experiment reproduction.
38	requirement	Paper table value audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/paper_table_values/paper_table_value_audit.json` maps 58 reward/domain/PPO/VAE/diffusion table values to official-code evidence or debug-only Level C probes with zero mismatches.
39	requirement	Skill-success table data audit	complete	True		Complete for data availability audit only, not execution reproduction: `/mnt/infini-data/test/BeyondMimic/res/paper_skill_success_table_audit/skill_success_table_data_audit.json` parses 36 table rows, confirms 29 LAFAN rows are checked against 40 local G1 CSVs, and records data mismatches: missing `run1_subject4` plus 2 Real interval rows exceeding local 30 Hz CSV duration. Sim/real success claims remain unreproduced.
40	requirement	Released-data panel mapping audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_panel_mapping_audit/released_panel_mapping_audit.json` checks 15 released-data panel-map rows against 13 generated released-figure groups, source hashes, the extracted `Dataset_beyondmimic` tree, and raw `Dataset_beyondmimic.zip`, with zero failed rows. Fig. 5/Fig. 6 and hardware-only claims are explicitly not claimed.
41	requirement	Paper-vs-reproduction comparison table	complete	True		`/mnt/infini-data/test/BeyondMimic/res/comparison/paper_vs_reproduction.csv`; `/mnt/infini-data/test/BeyondMimic/res/comparison/paper_vs_reproduction.md`; `/mnt/infini-data/test/BeyondMimic/res/comparison/paper_vs_reproduction.json` compare exact paper table values, released-data panels, source/debug audits, unavailable public artifacts, and hardware-required claims with explicit comparison types. Required goal checkpoint rows for walking/running velocity error `12.14%/13.65%` and direct/latent diffusion cartwheel success `5%/95%` now link formula/API metric evidence while explicitly remaining `not reproduced` for paper-level results.
42	requirement	Results claims audit	partial	True		`/mnt/infini-data/test/BeyondMimic/res/results_claims_audit/results_claims_audit.json` source-indexes 14 Results claims including 2.5h/30-clip skill validation, Fig.3B IMU dynamics, Fig.4C GRF, user study, Fig.5 joystick/waypoint/t-SNE/walk-run claims, Fig.6 inpainting/obstacle claims, 12.14%/13.65% velocity errors, and 5%/95% latent-diffusion ablation. The velocity-error and cartwheel-ablation rows now link formula/API metric evidence from `/mnt/infini-data/test/BeyondMimic/res/evaluation_metrics_coverage/evaluation_metrics_coverage_audit.json`, `/mnt/infini-data/test/BeyondMimic/res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json`, and `/mnt/infini-data/test/BeyondMimic/res/tests/core_math_unit_tests/core_math_unit_tests.json` while remaining `not_publicly_reproducible_currently` for paper-level rollout/evaluation results. It separates released-data evidence, debug-only probes, paper-only claims, hardware requirements, and not-publicly-reproducible rows; it does not claim Fig.5/Fig.6 paper reproduction.
43	requirement	Patch inventory audit	partial	True		`/mnt/infini-data/test/BeyondMimic/res/code/patch_inventory_audit/patch_inventory_audit.json` records the current `reproduction/patches` directory and tracked states of the three local official worktrees. `/mnt/infini-data/test/BeyondMimic/res/code/patch_snapshot_audit/patch_snapshot_audit.json` exports tracked official-worktree diffs into reproducible patch snapshots. This makes patch hygiene auditable, but the project still has no explicit functional full training/deployment patch series.
44	requirement	Evaluation metrics coverage audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/evaluation_metrics_coverage/evaluation_metrics_coverage_audit.json` maps all 44 `goal.md` Section 12 required metrics to current evidence or explicit gaps: motion tracking `10`, adaptive sampling `6`, VAE `8`, diffusion/guidance `14`, and statistics `6`. Status counts are now `released_data=8`, `public_data_checkpoint=18`, `formula_api_only=5`, `blocked_or_missing=7`, `debug_or_released=3`, `debug_only=1`, and `partial=2`; the formula-only rows link success/fall/tracking/velocity metric APIs and tests without claiming rollout results, while the public-data checkpoint rows now include the full-split guidance metrics and result-table evidence. `/mnt/infini-data/test/BeyondMimic/res/evaluation/trial_failure_accounting_audit/trial_failure_accounting_audit.json` backs the Section 12.5 trial/failure-count rows with source-table, released-data, debug-seed, run-catalog, and retained failed-run counts. Blocked/debug-only/formula-only metrics are not claimed as paper-level complete.
45	requirement	Metrics catalog	complete	True		`/mnt/infini-data/test/BeyondMimic/res/metrics/metrics_catalog/metrics_catalog.json` indexes current metric-bearing artifacts across released-data, formula-API, debug-only, comparison, coverage-audit, and blocked-boundary evidence levels, with hashes and row counts. It now includes 23 sources and 456 indexed rows: 4 released-data sources, 2 formula-API sources, 11 debug-only sources, 1 comparison source, 3 coverage-audit sources, and 2 blocked-boundary sources. Formula-API sources include `/mnt/infini-data/test/BeyondMimic/res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json` and `/mnt/infini-data/test/BeyondMimic/res/tests/core_math_unit_tests/core_math_unit_tests.json` for success/fall/velocity metric contracts. It centralizes metric traceability but does not create missing trained checkpoints, rollout videos, or paper-level results.
46	requirement	Ablation coverage audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/ablation_coverage/ablation_coverage_audit.json` maps all 15 `goal.md` Phase 9 ablation items: 6 motion-tracking ablations and 9 diffusion ablations. Released-data tracking ablation panels are present. `/mnt/infini-data/test/BeyondMimic/res/level_c/direct_vs_latent_action_ablation_audit/level_c_direct_vs_latent_action_ablation_audit.json` adds an offline debug direct-state vs state-latent action-pipe ablation. `/mnt/infini-data/test/BeyondMimic/res/level_c/lafan1_paper_arch_symmetry_training_comparison/level_c_lafan1_paper_arch_symmetry_training_comparison_audit.json` adds a public-data trained with/without-symmetry comparison: windows/tokens double from `2200/46200` to `4400/92400`, validation/test decoded-action MSE improve by about `18.6%/19.1%`, and validation/test diffusion tau MSE remain finite but worsen by about `12.4%/10.5%`. Remaining diffusion ablations are explicitly marked debug/protocol/blocked rather than overclaimed as trained paper results.
47	requirement	Guidance task coverage audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/guidance_task_coverage/guidance_task_coverage_audit.json` maps all 30 `goal.md` Phase 8 rows: 6 tasks x 5 required evidence types. Debug and public-data evidence now coexist for joystick/inpainting/formulas/scale sweeps, including `/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_task_scale_sweep/level_c_guidance_task_scale_sweep.json` for formula-level task-specific scale sweeps, `/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json` for five task-level metrics with full-split offline/reverse linkage, and `/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json` for the consolidated public-data summary table; videos and trained closed-loop rollouts remain blocked/missing and are not overclaimed.
48	requirement	Required artifact absence audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/required_artifact_absence/required_artifact_absence_audit.json` checks required trained/deployment artifact classes from `goal.md` and the paper: tracking/VAE/diffusion checkpoints, ONNX, TensorRT, true DAgger logs, state-latent dataset, Fig.5/Fig.6 rollout artifacts, success/failure videos, sim-to-sim logs, paper metrics, completed training run directories, and non-reproduction reference videos. It records 17 audit rows: 12 missing required artifacts, 2 debug-only rows, and 3 present-but-not-required exclusion rows. The exclusion rows explicitly separate the run-management NPZ, debug VAE PT, debug diffusion PT, local debug guidance GIF, and 2 bundled IsaacLab/reference documentation GIFs from trained-checkpoint/video counts; 31 downloaded reference model files and 39 downloaded reference videos are not counted as BeyondMimic reproduction outputs.
49	requirement	Consolidated final evidence report	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/docs/final_reproduction_report.md`, `/mnt/infini-data/test/BeyondMimic/res/final_report/reproduction_report.md`, and `/mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json` summarize current Level A/B/C evidence, paper coverage, table values, blocked gates, verification commands, and verification-command coverage. The report writer now records `atomic_write_used=true` and writes JSON/Markdown outputs via temporary files followed by replacement. `/mnt/infini-data/test/BeyondMimic/res/final_report/final_report_requirement_audit/final_report_requirement_audit.json` verifies the 12 explicit final-report requirements from `goal.md` with zero missing rows, checks `summary_atomic_write_used=true`, and writes its own JSON/TSV outputs atomically.
50	requirement	Final deliverables audit	partial	True		`/mnt/infini-data/test/BeyondMimic/res/final_deliverables_audit/final_deliverables_audit.json` checks 38 `goal.md` section 16 deliverable/documentation rows across environment, code, experiment, and documentation. It has zero missing listed evidence paths, confirms environment/documentation deliverables, records core-test coverage under the code tests deliverable, records formula-API/core-coverage/paper-trace metric evidence under the experiment metrics deliverable, links `/mnt/infini-data/test/BeyondMimic/res/visual_media_inventory/visual_media_inventory_audit.json` into the video/PDF/SVG/PNG deliverable rows, and explicitly records checkpoints plus mp4/mov/mkv reproduction videos as `blocked_or_missing` with zero real model/video files.
51	requirement	Visual media inventory audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/visual_media_inventory/visual_media_inventory_audit.json` inventories 80 local visual media files with hashes: 24 PDF, 29 PNG, 24 SVG, and 3 GIF files. It separates 60 released-data figures from debug guidance, augmentation, tracking, run-figure, and tiny-diffusion preview media, confirms all files are nonempty, and records 4 paper-required video gaps: tracking rollout/replay, Fig. 5 joystick/waypoint, Fig. 6 inpainting/obstacle, and real-robot success/failure videos. No mp4/mov/mkv reproduction video is present or claimed.
52	requirement	Verification command coverage audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/verification_command_coverage/verification_command_coverage_audit.json` categorizes the final report verification commands and executes a bounded ten-command lightweight smoke subset covering progress/final-report requirements, artifact absence, metric/ablation coverage, goal traceability, goal directive indexing, goal requirement matrix, final deliverables, and paper formula/code traceability. `/mnt/infini-data/test/BeyondMimic/res/verification_command_syntax/verification_command_syntax_audit.json` statically compiles every unique Python script referenced by the final-report command list, and `/mnt/infini-data/test/BeyondMimic/res/verification_command_script_manifest/verification_command_script_manifest.json` records SHA256 hashes for that same script set. These audits verify command-list hygiene, mapped smoke outputs, script syntax/provenance, and atomic JSON/TSV writes only; heavy IsaacLab/Kit, ROS 2, training, TensorRT, Fig. 5/Fig. 6, and real-robot gates remain unexecuted.
53	requirement	Progress report audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/progress_report_audit/progress_report_audit.json` verifies all 21 mandatory `goal.md` section 17 progress fields are present and nonempty in `/mnt/infini-data/test/BeyondMimic/reproduction/PROGRESS.md`, checks 17 key progress markers, confirms the report records incomplete checkpoint/video boundaries instead of only saying complete or success, and now writes JSON/TSV outputs atomically to avoid half-written audit files during report refreshes.
54	requirement	Goal traceability audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/goal_traceability/goal_traceability_audit.json` maps major `goal.md` sections to current evidence, partial/blocked status, or out-of-scope conditions.
55	requirement	goal.md directive index audit	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/goal_directive_index_audit.py` reads `/mnt/infini-data/test/BeyondMimic/goal.md` and writes `/mnt/infini-data/test/BeyondMimic/res/goal_directive_index/goal_directive_index_audit.json`, directive TSV, and heading TSV. It indexes `1951` lines, `80` headings, and `258` directive-bearing rows with tag counts `boundary=29`, `deliverable=72`, `execution=131`, `mandatory=41`, and `prohibition=42`, then cross-checks line/heading counts against the goal traceability audit and evidence presence in the requirement matrix. This is complete for reading/indexing/tracking goal.md, not proof that blocked training/deployment/video requirements are finished.
56	requirement	Goal requirement matrix audit	partial	True		`/mnt/infini-data/test/BeyondMimic/res/goal_requirement_matrix/goal_requirement_matrix_audit.json` maps 28 fine-grained `goal.md` requirements across 1951 lines to evidence and remaining gaps. It has zero missing evidence paths and status counts `complete=11`, `partial=15`, `blocked=1`, `out_of_scope=1`. The Section 12 `evaluation_metrics` requirement now links formula/API metric contracts from `/mnt/infini-data/test/BeyondMimic/res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json` and `/mnt/infini-data/test/BeyondMimic/res/tests/core_math_unit_tests/core_math_unit_tests.json`, references the 12.14%/13.65% and 5%/95% goal-checkpoint values, and remains `partial` because paper-level rollout metrics/checkpoints/logs are still missing or blocked.
57	requirement	Discrepancy/unresolved report	complete	True		Complete for current evidence: `/mnt/infini-data/test/BeyondMimic/reproduction/docs/discrepancy_report.md`; `/mnt/infini-data/test/BeyondMimic/reproduction/docs/unresolved_details.md`
61	header	Requirement	Status	True		Evidence
63	requirement	Project-local cache/tmp/log policy	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/scripts/project_env.sh`
64	requirement	`bm_analysis` env and locks	complete	True		`/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/*lock*`; `/mnt/infini-data/test/BeyondMimic/logs/setup/analysis_smoke.log`
65	requirement	`bm_tracking` env and locks	complete	True		`/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/environment.yml`; `/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/pip-freeze.txt`
66	requirement	Isaac Sim 4.5.0 Python smoke	complete	True		`/mnt/infini-data/test/BeyondMimic/logs/setup/isaacsim_python_smoke.log`; `/mnt/infini-data/test/BeyondMimic/envs/isaacsim-4.5.0/pip-freeze.txt`
67	requirement	IsaacLab package import smoke	complete	True		Plain `isaaclab`, Isaac Sim, official IsaacLab editable packages, and `whole_body_tracking` package-layer imports are restored in `bm_tracking`; evidence in `/mnt/infini-data/test/BeyondMimic/res/setup/env_probe/env_import_probe.json` and `/mnt/infini-data/test/BeyondMimic/logs/setup/isaaclab_import_via_script.log`.
68	requirement	IsaacLab/Kit headless smoke	partial	True		Historical inotify failures are retained in `/mnt/infini-data/test/BeyondMimic/logs/setup/isaaclab_headless_smoke_retry.log` and `/mnt/infini-data/test/BeyondMimic/res/setup/kit_inotify_budget_audit/kit_inotify_budget_audit.json`, but the current AppLauncher live gate reaches its success sentinel with a runtime warning in `/mnt/infini-data/test/BeyondMimic/res/setup/isaaclab_live_gate_probe/isaaclab_live_gate_probe.json`. Resource-adjusted IsaacLab task gates now run on `cuda:6`, but official `csv_to_npz.py` conversion/replay and PPO remain blocked by the official asset/conversion/runtime path rather than by package import alone.
69	requirement	`whole_body_tracking` non-Kit smoke	partial	True		`/mnt/infini-data/test/BeyondMimic/logs/setup/whole_body_tracking_nokit_smoke.log`; latest safe rerun log `/mnt/infini-data/test/BeyondMimic/logs/setup/whole_body_tracking_nokit_smoke_rerun.log` is audited by `/mnt/infini-data/test/BeyondMimic/res/tracking/tracking_smoke_rerun_audit/tracking_smoke_rerun_audit.json`, which preserves the earlier package/assets/G1 URDF/mesh and inotify failure evidence. Current host inotify limits are now raised and `/mnt/infini-data/test/BeyondMimic/res/setup/isaaclab_live_gate_probe/isaaclab_live_gate_probe.json` reaches the AppLauncher success sentinel, so inotify is no longer the active live-gate blocker. `/mnt/infini-data/test/BeyondMimic/res/tracking/tracking_import_gate_audit/tracking_import_gate_audit.json` and `/mnt/infini-data/test/BeyondMimic/res/tracking/tracking_extension_namespace_probe/tracking_extension_namespace_probe.json` remain useful historical non-Kit import diagnostics; the active official replay blocker is now the G1 USD conversion/replay path, not a simple `PYTHONPATH` gap.
70	requirement	Official tracking train entry retry	partial	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/official_train_entry_retry_audit/tracking_official_train_entry_retry_audit.json` preserves the earlier bounded official-entry retry failure. A newer resource-adjusted train-entry diagnostic at `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_resource_adjusted_train_entry_diagnostic/tracking_g1_resource_adjusted_train_entry_diagnostic_audit.json` constructs the official `Tracking-Flat-G1-v0` env, wraps it with `RslRlVecEnvWrapper`, instantiates the custom `MotionOnPolicyRunner`, and completes one tiny PPO learning iteration with `num_envs=1` and `num_steps_per_env=4` on `cuda:6`. This verifies train-entry wiring after environment recovery, but it still uses generated resource-adjusted USD and official-CSV-derived resource-adjusted motion, writes no checkpoint, logs PhysX GPU kernel warnings, and is not formal PPO training, official replay/evaluation, or paper-level tracking performance.
71	requirement	Official tracking config/asset audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.json`; `/mnt/infini-data/test/BeyondMimic/res/tracking/official_source_contract_audit/tracking_official_source_contract_audit.json` statically audits the official `whole_body_tracking` G1 source without launching Kit: 14 target bodies with `torso_link` anchor, 50 Hz control config, 8 policy observation terms, 10 critic observation terms, 9 reward terms, 4 events, 4 terminations, PPO key values, G1 action-scale assignment, 5 actuator groups, all URDF meshes present, and all non-fixed URDF joints covered by official action regexes. `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_action_scale_audit/tracking_g1_action_scale_audit.json` and `.tsv` expand the official G1 actuator/action-scale numeric contract over all 29 non-fixed URDF joints, with group counts `legs=8`, `feet=4`, `waist=2`, `waist_yaw=1`, `arms=14`, positive armature/stiffness/action-scale values, and the official `0.25 * effort / stiffness` action-scale formula. `/mnt/infini-data/test/BeyondMimic/res/tracking/reward_formula_audit/tracking_reward_formula_audit.json` numerically audits the 9 official reward terms, including 6 motion-imitation `exp(-error/std^2)` rewards, 3 regularizers, official weights/stds, 30 scan rows, monotone non-increasing reward curves, and weighted-at-zero checks. `/mnt/infini-data/test/BeyondMimic/res/tracking/observation_action_schema_audit/tracking_observation_action_schema_audit.json` derives the official actor observation dimension `160`, critic observation dimension `286`, and action dimension `29`, with 8 policy terms, 10 critic terms, 6 noisy policy terms, 0 noisy critic terms, 14 target bodies, 50 Hz/29-joint fixture alignment, and Rot6D/body-frame source checks. `/mnt/infini-data/test/BeyondMimic/res/tracking/randomization_termination_audit/tracking_randomization_termination_audit.json` audits the official 4 randomization/push events, 13 event range rows, 4 termination terms, friction/joint-default/COM/push ranges, anchor/EE/orientation thresholds, and strict-greater-than boundary probes. This is official-code static/numeric/schema evidence, not a rollout/training result.
75	header	Requirement	Status	True		Evidence
77	requirement	Released dataset inventory	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/docs/released_dataset_inventory.tsv`
