task	requirement	status	evidence	all_evidence_exists	detail
waypoint	with_guidance	public_data_reverse_guidance	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json	True	waypoint_formula is applied inside the full-checkpoint reverse-denoising loop and to predicted trajectories; the full-split symmetry audits cover validation+test windows; no closed-loop guided rollout.
waypoint	multiple_guidance_weights	public_data_reverse_guidance_scale_sweep	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint sweeps reverse-denoising and one-shot offline guidance scales; the full-split symmetry audits cover validation+test windows.
waypoint	success_failure_videos	blocked_missing_videos	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	No success/failure videos for this task.
waypoint	quantitative_metrics	public_data_reverse_guidance_metrics	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json;res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json;res/evaluation_metrics_coverage/evaluation_metrics_coverage_audit.json	True	Reverse-denoising and one-shot full-checkpoint guidance record cost deltas and primary metrics; the full-split symmetry audits add 33,000 reverse rows and 46,200 offline rows; no rollout success/collision/goal-distance metric.
obstacle_avoidance	without_guidance	public_data_reverse_guidance_baseline	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint records unguided reverse-denoising and one-shot trajectory baselines before task guidance.
obstacle_avoidance	with_guidance	public_data_reverse_guidance	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json	True	sdf_obstacle_barrier_formula is applied inside the full-checkpoint reverse-denoising loop and to predicted trajectories; the full-split symmetry audits cover validation+test windows; no closed-loop guided rollout.
obstacle_avoidance	multiple_guidance_weights	public_data_reverse_guidance_scale_sweep	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint sweeps reverse-denoising and one-shot offline guidance scales; the full-split symmetry audits cover validation+test windows.
obstacle_avoidance	success_failure_videos	blocked_missing_videos	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	No success/failure videos for this task.
obstacle_avoidance	quantitative_metrics	public_data_reverse_guidance_metrics	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json;res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json;res/evaluation_metrics_coverage/evaluation_metrics_coverage_audit.json	True	Reverse-denoising and one-shot full-checkpoint guidance record cost deltas and primary metrics; the full-split symmetry audits add 33,000 reverse rows and 46,200 offline rows; no rollout success/collision/goal-distance metric.
composed_objectives	without_guidance	public_data_reverse_guidance_baseline	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint records unguided reverse-denoising and one-shot trajectory baselines before task guidance.
composed_objectives	with_guidance	public_data_reverse_guidance	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json	True	composed_paper_formula_terms is applied inside the full-checkpoint reverse-denoising loop and to predicted trajectories; the full-split symmetry audits cover validation+test windows; no closed-loop guided rollout.
composed_objectives	multiple_guidance_weights	public_data_reverse_guidance_scale_sweep	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint sweeps reverse-denoising and one-shot offline guidance scales; the full-split symmetry audits cover validation+test windows.
composed_objectives	success_failure_videos	blocked_missing_videos	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	No success/failure videos for this task.
composed_objectives	quantitative_metrics	public_data_reverse_guidance_metrics	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json;res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json;res/evaluation_metrics_coverage/evaluation_metrics_coverage_audit.json	True	Reverse-denoising and one-shot full-checkpoint guidance record cost deltas and primary metrics; the full-split symmetry audits add 33,000 reverse rows and 46,200 offline rows; no rollout success/collision/goal-distance metric.
inpainting	without_guidance	public_data_reverse_guidance_baseline	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint records unguided reverse-denoising and one-shot trajectory baselines before inpainting-keyframe guidance.
inpainting	with_guidance	public_data_reverse_guidance	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json	True	Candidate keyframe term is applied inside the full-checkpoint reverse-denoising loop and to predicted trajectories; the full-split symmetry audits cover validation+test windows; paper does not publish a unique inpainting cost equation.
inpainting	multiple_guidance_weights	public_data_reverse_guidance_scale_sweep	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json	True	Full public-data checkpoint sweeps reverse-denoising and one-shot offline guidance scales; the full-split symmetry audits cover validation+test windows.
inpainting	success_failure_videos	blocked_missing_videos	res/level_c/fig5_fig6_feasibility_audit/level_c_fig5_fig6_feasibility_audit.json	True	No inpainting success/failure videos.
inpainting	quantitative_metrics	public_data_reverse_guidance_metrics	res/level_c/lafan1_paper_arch_reverse_guidance/level_c_lafan1_paper_arch_reverse_guidance_audit.json;res/level_c/lafan1_paper_arch_symmetry_augmented_reverse_guidance_full_split/level_c_lafan1_paper_arch_reverse_guidance_full_split_audit.json;res/level_c/lafan1_paper_arch_guidance_eval/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/lafan1_paper_arch_symmetry_augmented_guidance_eval_full_split/level_c_lafan1_paper_arch_guidance_eval.json;res/level_c/guidance_task_metric_audit/level_c_guidance_task_metric_audit.json;res/level_c/guidance_full_split_result_table/level_c_guidance_full_split_result_table.json;res/level_c/timestep_mask_coverage_audit/level_c_timestep_mask_coverage_audit.json	True	Reverse-denoising and one-shot full-checkpoint inpainting guidance record keyframe cost/metric deltas; the full-split symmetry audits add 33,000 reverse rows and 46,200 offline rows; no cartwheel inpainting success metric.
