index	command	script_path	size_bytes	sha256
27	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/final_deliverables_audit.py	reproduction/scripts/final_deliverables_audit.py	21610	13b534cfd81dc19309acb9206b0dff9cb6d0b6779f2439e84c54c6bb754abd22
28	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/visual_media_inventory_audit.py	reproduction/scripts/visual_media_inventory_audit.py	11914	e792f49f2bc90d4727067c1f097c04be1fc3a613e1c4fb73e313961b10f89c9b
29	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/visual_evidence_index.py	reproduction/scripts/visual_evidence_index.py	12378	2ee3abb602f429844965a063807427c2f6cf9b4558b048c7a1b31b3c76c2ac6e
30	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/verification_command_coverage_audit.py	reproduction/scripts/verification_command_coverage_audit.py	10144	3dc6e9db3be3d49efaafee4e0a4281b4de00759a54e853073f4b2319cb643935
31	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/verification_command_syntax_audit.py	reproduction/scripts/verification_command_syntax_audit.py	5386	313b461c56b555710855c8c0b2ab3bf13f8fbeb1cb2ab04f7354d472aad9f0d8
32	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/verification_command_script_manifest.py	reproduction/scripts/verification_command_script_manifest.py	5514	e137f265b7005a79aafa9a6509bf7542a3d291fd0803236a03b81ab8d842f555
33	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/required_artifact_absence_audit.py	reproduction/scripts/required_artifact_absence_audit.py	81324	e5141dc10c473fcbe3c259b0c36453514b5e40fbc6dda4b8febf720da9aae749
34	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/trial_failure_accounting_audit.py	reproduction/scripts/trial_failure_accounting_audit.py	13366	f4112c1677c6848d5013abf69d92214bea8f62d7a70c6ffe6597ae335f76404c
35	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/evaluation_metrics_coverage_audit.py	reproduction/scripts/evaluation_metrics_coverage_audit.py	26346	12eac1855fb7d38ec525abb35534ba55095485e69440e9842f9a1a95f7f89b97
36	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/ablation_coverage_audit.py	reproduction/scripts/ablation_coverage_audit.py	11310	b5bc404a236f8e18bee46a417e2d8e683e0c881400917f7f4fcecdcd45985f88
37	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/metrics_catalog.py	reproduction/scripts/metrics_catalog.py	15033	a740c86a19a5f2a666ac2d19032fc7465d02970694b48d46bfe44d8d1bbba2f3
38	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/released_data_metrics_summary.py	reproduction/scripts/released_data_metrics_summary.py	11928	4f360e99c0d9bbe7a7204cf8ca793a37874bde5a04b07ea8320dc574692c37ad
39	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/released_data_statistical_audit.py	reproduction/scripts/released_data_statistical_audit.py	14003	ab57689e795d374b672ad243e880da3a7243208363e4a98b0752db762ef25cf5
40	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/run_level_a_released_data_suite.py	reproduction/scripts/run_level_a_released_data_suite.py	7940	b6837bc07210b0cae1fa62bc091f3a2027eb80c06815e45d925b0fb9129897cd
41	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/guidance_task_coverage_audit.py	reproduction/scripts/guidance_task_coverage_audit.py	15439	04171d44cfaf6b83016cf85728ba35e23a26d08bb7a6390fc21e1c70c2390d42
42	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/progress_report_audit.py	reproduction/scripts/progress_report_audit.py	5938	2f422ae2e5c317784040cebcddf4ceb8152478d3afb15b113ae37a1c358e4756
43	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/completion_matrix_status_audit.py	reproduction/scripts/completion_matrix_status_audit.py	5965	080785f9c7f39b86501ec757d4b44315974ee20119e884e6504dc49590901fc8
44	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/project_boundary_audit.py	reproduction/scripts/project_boundary_audit.py	6922	3cecc4e68da5400b8f375881122f711e179fe8d7a9484435b136638134c87996
45	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/core_test_coverage_audit.py	reproduction/scripts/core_test_coverage_audit.py	6060	3da3664a9ea9a783faac563bc7d0b34da55467a63c5ba36f1574d6d29959d7c5
46	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/coding_requirements_audit.py	reproduction/scripts/coding_requirements_audit.py	11418	79b02e53a51a3f799e96c6179f8bc81743d6ce2e846d7d52554ac37b3c3e9e13
47	python3 /mnt/infini-data/test/BeyondMimic/reproduction/tests/test_reimpl_package_api.py	reproduction/tests/test_reimpl_package_api.py	15111	f219fcf1dbfd95b74847a8fd3e3beada58b181bff6a547aea1d3b0f02a94e62f
48	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/run_reimpl_test_suite.py	reproduction/scripts/run_reimpl_test_suite.py	7134	fba5befd7585292929f32e65a5f3f0cb1ec0a1d0ebca3cd8978acb79863064a4
49	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_diffusion_equation_audit.py	reproduction/scripts/level_c_diffusion_equation_audit.py	10988	d32803575d130f84158b3292aced681cc799c3af328bb65ba7eca349b51eb458
50	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_trajectory_inverse_transform_audit.py	reproduction/scripts/level_c_trajectory_inverse_transform_audit.py	12223	0cca290c1c7b551008a68437c06c5802625116d907dc0c419b608923284ae500
51	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_emphasis_projection_audit.py	reproduction/scripts/level_c_emphasis_projection_audit.py	8674	3bc76de608bf895c20f723f0f36265982c31be49ffd9690dfb4285fce0720bce
52	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_state_representation_source_audit.py	reproduction/scripts/level_c_state_representation_source_audit.py	14217	54a9464666c62856324af7b8166329bdd240dd55c6c232fcb487fe4b4a138697
53	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_dataset_collection_protocol_audit.py	reproduction/scripts/level_c_dataset_collection_protocol_audit.py	15234	d02ecf8392f60a36176eb0b41eebf1c3fb375bce8ba7e65df83efdfa9a4ce7a9
54	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_rollout_rejection_manifest_probe.py	reproduction/scripts/level_c_rollout_rejection_manifest_probe.py	13677	812378cf656563f5a535a409591662f9a6ad8dc80adcc067000125ead00a7b93
55	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/state_latent_schema_audit.py	reproduction/scripts/state_latent_schema_audit.py	7710	e198c39c2b81b2bd4bb33133af3b194f608834de3fd591bfd46e80544d0b45b8
56	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/dagger_schema_audit.py	reproduction/scripts/dagger_schema_audit.py	9208	06cc3d0931d1718fa3e58ca7e36c6c0d885a93816df3d970c5f7c57f330c12dc
57	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_dagger_iteration_smoke.py	reproduction/scripts/level_c_dagger_iteration_smoke.py	9926	822ef1bac9b26accc9ab13b5374b60a243758f3aec60c8ff8130123cc0ea64fd
58	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/build_level_c_paper_state_windows.py	reproduction/scripts/build_level_c_paper_state_windows.py	13078	33f498e5a34f835d06495a4b8db49c1d14facbf6d230ed4c069017e2f1b188b6
59	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_state_latent_dataset_consistency_audit.py	reproduction/scripts/level_c_state_latent_dataset_consistency_audit.py	12525	071a2059ee553f36f5c7ffd2c28360889b028f8a26d6a3811d640054344e7ce4
60	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_state_latent_training_dataset_contract_audit.py	reproduction/scripts/level_c_state_latent_training_dataset_contract_audit.py	14426	dc5784fdce06f75f041ce1c85b1de9d1f775d2caf65b2a3f67043e5dfd4ef700
61	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_state_overfit_probe.py	reproduction/scripts/level_c_paper_state_overfit_probe.py	9641	f32a40c49a1fa75345092eb6f279fd35dfcb93c4bba7db0e4a795d8cddd77a8c
62	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_diffusion_overfit_probe.py	reproduction/scripts/level_c_vae_latent_diffusion_overfit_probe.py	10244	aaa9174622a45aaac5d915839855f20fbe27a7b675aa130ac811b2a837c254b0
63	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_state_heldout_eval.py	reproduction/scripts/level_c_paper_state_heldout_eval.py	8563	3388d87ca182fd2926af5104cc5912a483d6aeb0ff26735ad79fa59134496156
64	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_heldout_eval.py	reproduction/scripts/level_c_vae_latent_heldout_eval.py	8898	713a58b16030893c9ff91de2326b8ae447b85843b60b3c5faed0ff2e7d30e10d
65	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_state_heldout_multiseed_audit.py	reproduction/scripts/level_c_paper_state_heldout_multiseed_audit.py	10000	35c022d3ee0dfc4a0d3aa5f4d43c954689424c55df43b1bbafa3f3cbc32793ad
66	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_heldout_multiseed_audit.py	reproduction/scripts/level_c_vae_latent_heldout_multiseed_audit.py	10357	c22004527a82882fc34b02afc8e1014b3ec62852c03cd558af74aae5b8bd7e36
67	BM_LEVEL_C_TORCH_THREADS=2 /mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_paper_state_transformer_arch_probe.py --device cuda:0 --batch-size 1	reproduction/scripts/level_c_paper_state_transformer_arch_probe.py	13137	a9ed34663a5188631336827dab4e22ac3bde481a6c44286ffaa1b23c00841e84
68	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_transformer_arch_probe.py --device cpu --batch-size 1	reproduction/scripts/level_c_vae_latent_transformer_arch_probe.py	9327	8b5ee639663201258abe4d8514d3ce3f1aa342b54283a3d2b31633be44b1c9b2
69	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_transformer_parameter_count_audit.py	reproduction/scripts/level_c_transformer_parameter_count_audit.py	7357	cfe3ba8040c088d5f412492f906b09ac9c70da16da9a4e5e1caa237ec6bf5683
70	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_transformer_state_dict_manifest.py	reproduction/scripts/level_c_transformer_state_dict_manifest.py	7386	aa3f4f9c2d2d09bb659c0d8d2e8964d71d0f717fd1fc35a117af3d505ab77f3c
71	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_transformer_ema_smoke.py --device cpu --steps 2	reproduction/scripts/level_c_transformer_ema_smoke.py	10246	b2e852311ddd762be5f4343e3ae25834ff2fd047689792df9c1b447516e78045
72	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_vae_latent_transformer_ema_smoke.py --device cpu --steps 2	reproduction/scripts/level_c_vae_latent_transformer_ema_smoke.py	10517	ca8d4f0a17ed9a9b44bba52b2683843bcd6045fd04d7e19ffe016a95081f2f27
73	/mnt/infini-data/test/BeyondMimic/envs/bm_tracking/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_diffusion_checkpoint_smoke.py --device cpu	reproduction/scripts/level_c_diffusion_checkpoint_smoke.py	14987	b95457f6e6e727c161c808d38098e6caef126ca51a0f4480d3a7009dcb6499c4
74	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_bounded_debug_diffusion_training_run.py --device cpu --steps 3 --batch-size 1 --torch-threads 2	reproduction/scripts/level_c_bounded_debug_diffusion_training_run.py	21694	7bcca2d58cbf1097aeb360d748c872437eef5d211ed06c021ed7611ce590a366
75	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_bounded_debug_diffusion_checkpoint_eval.py --device cpu --torch-threads 2	reproduction/scripts/level_c_bounded_debug_diffusion_checkpoint_eval.py	10973	ddf1a7daafdba2be5a9c59c4d50d90f18392b85f7c79ab981ca066a34fc8808a
76	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_bounded_debug_diffusion_action_eval.py --device cpu --torch-threads 2	reproduction/scripts/level_c_bounded_debug_diffusion_action_eval.py	12474	1ccd9ef2afdd2479110696d4feca0cc2f27b458fc3c0117936e9f7bca2aafd80
77	python3 /mnt/infini-data/test/BeyondMimic/reproduction/scripts/run_level_c_resource_adjusted_tiny_diffusion_suite.py	reproduction/scripts/run_level_c_resource_adjusted_tiny_diffusion_suite.py	9021	f71bde58255e1d30e9de98c1b8a5ba5efbd2e0dc4cac48831de9f1156d224d62
78	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_training_run.py --device cpu --torch-threads 2 --epochs 180	reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_training_run.py	22593	c46a2bf36e0c5536e31db9d62e490a54fb42053e8c70382674dea294af872bef
79	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_multiseed_audit.py --device cpu --torch-threads 2 --epochs 80	reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_multiseed_audit.py	8472	ce38b4a577ed009fde1cc0954e9c3d256bab10b1b639ca9a492ea3dee2692001
80	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_checkpoint_eval.py --device cpu --torch-threads 2	reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_checkpoint_eval.py	8859	fd7aa33dc94c096936db3ca70f028511f1c0317071850608f2f6964aaf824258
81	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_onnx_export_inference.py	reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_onnx_export_inference.py	9633	fbae45ac0907313b97c5643e4efe8d6467edabd9e2cc372771a2cbe9bda554e1
82	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_latency_audit.py	reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_latency_audit.py	9133	018de01079fd29dc0277e2729b53ee4ab9a5c06c6e8728677586845d6d6a211f
83	/mnt/infini-data/test/BeyondMimic/envs/bm_diffusion/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_video_preview.py	reproduction/scripts/level_c_resource_adjusted_tiny_diffusion_video_preview.py	8989	e01af5bfe231822e24aff37c14f2db90fefba3216bb115c88aea7df729ba82b0
84	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_teacher_rollout_vae_training.py	reproduction/scripts/level_c_resource_adjusted_teacher_rollout_vae_training.py	25528	0f78c83dc6d43a573690c05d2a042c90a037ab52ea86ea1ad85ff06756dfc87d
85	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.py	reproduction/scripts/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.py	25933	302d721a98e480b06b078790b093f4352f1a3f8d4ed6292a16f332d7c296daa2
86	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_state_latent_diffusion_training.py	reproduction/scripts/level_c_resource_adjusted_state_latent_diffusion_training.py	26999	a1dd0b29ef1595964d3fd69b0abd2aec6a83dd7f4a116ca6f0d12fbf3f1e6be0
87	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/level_c_resource_adjusted_state_latent_guidance_eval.py	reproduction/scripts/level_c_resource_adjusted_state_latent_guidance_eval.py	28812	f141ddfa288d5905606fbb602b21611d8f06f983294433e7e6e1f768414be4ae
88	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/official_importer_export_full_bundle_task_conditioned_guidance_success_boundary.py	reproduction/scripts/official_importer_export_full_bundle_task_conditioned_guidance_success_boundary.py	14811	b1a05293318a0cbe8d9bd78e5fa0f9b1f539cb0a855b8adfa92b45270dafe90f
89	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/official_importer_export_scaled_ppo_checkpoint_completion_proxy.py	reproduction/scripts/official_importer_export_scaled_ppo_checkpoint_completion_proxy.py	13690	6f1a675d9b7d5da9ade5ff3edf32e091a1e3a7a85fa5f83a8c23b51f9f7d3de8
90	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_g1_official_importer_export_scaled_ppo_checkpoint_sweep.py	reproduction/scripts/tracking_g1_official_importer_export_scaled_ppo_checkpoint_sweep.py	20006	ee6253b59702bf19054a1d78d5a3bc095cac3eb2091b5ac7ee0609a671c43436
91	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_g1_official_importer_export_scaled_ppo_best_checkpoint_confirmation_eval.py	reproduction/scripts/tracking_g1_official_importer_export_scaled_ppo_best_checkpoint_confirmation_eval.py	16331	0d43324c87bb1f877c25d0acfe4989e971f2fc3019d6f0a726d1141abbbf07f3
92	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/official_importer_export_scaled_ppo_reward_termination_diagnostic.py	reproduction/scripts/official_importer_export_scaled_ppo_reward_termination_diagnostic.py	12702	b4a270827fc4fc46abfffd074edcd2a96938ffed03da06659b2fd7e594a243f0
93	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/official_importer_export_scaled_ppo_ee_body_pos_termination_source_audit.py	reproduction/scripts/official_importer_export_scaled_ppo_ee_body_pos_termination_source_audit.py	15110	4febea20f4490876be445656374c800430a940795ab29bdfa101aec1b1da468c
94	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/tracking_g1_official_importer_export_scaled_ppo_endpoint_z_error_trace.py	reproduction/scripts/tracking_g1_official_importer_export_scaled_ppo_endpoint_z_error_trace.py	27686	af18ca30959415a07fa91b071f27d3927b47a9e169bca2855460656010cb2e45
95	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/official_importer_export_motion_bundle_body_position_degeneracy_audit.py	reproduction/scripts/official_importer_export_motion_bundle_body_position_degeneracy_audit.py	17287	6d251e6513cbc9f6d9f12af647a42de1a443eba58d43c7461da3996b3fd3a9c8
96	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/official_importer_export_fig5_fig6_task_protocol_proxy.py	reproduction/scripts/official_importer_export_fig5_fig6_task_protocol_proxy.py	27125	c6cb4706ff1a6ae4e8d1790f9d6d6e35d786ab119d2a2a72dae19729509c5f6b
97	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy.py	reproduction/scripts/official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy.py	336	e4b1651ffae4190fcf962bc07c545e1636ddb4dfee9ac358a2da22f19c2f9449
98	/mnt/infini-data/test/BeyondMimic/envs/bm_analysis/bin/python /mnt/infini-data/test/BeyondMimic/reproduction/scripts/official_importer_export_scaled_ppo_fig5_fig6_success_fall_collision_proxy.py	reproduction/scripts/official_importer_export_scaled_ppo_fig5_fig6_success_fall_collision_proxy.py	21420	e18771f9ee6b2ec4f3c9d654946b73ed01fce435268f4e31253403df56042c5d
