kind	paper_item	label	source	coverage_status	status_bucket	evidence	evidence_exists	notes	caption_excerpt	graphics
table	Reward terms table	tab:rewardterms	reproduction/paper/source/root.tex:628	official-code audited	strong	/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.json	True	Reward weights and target-body tracking terms audited against official code.	Unified reward formulation using Gaussian-shaped tracking scores.	
table	Domain randomization table	tab:domain_rand	reproduction/paper/source/root.tex:698	official-code audited	strong	/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.json	True	Friction, restitution, joint/default/COM, and velocity perturbation ranges audited.	\textbf{Domain randomization parameters.} ($\mathcal{U}[\cdot]$: uniform distribution)	
table	Actuator reflected inertia table	tab:actuator_inertia	reproduction/paper/source/root.tex:722	paper/source indexed; code effect audited	indexed	/mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_parameter_map.md	True	Numeric table indexed from paper source; official G1 armature/action-scale code audited separately.	\textbf{Actuator reflected inertia.} Total $J_\mathrm{arm} = J_r(g_1g_2)^2 + J_1g_2^2 + J_2$ with unit kg$\cdot$m$^2$. Near-zero entries shown as ``--''.	
table	Joint-axis inertia table	tab:joint_armature	reproduction/paper/source/root.tex:739	paper/source indexed; code effect audited	indexed	/mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_parameter_map.md	True	Numeric table indexed from paper source; official G1 armature/action-scale code audited separately.	\textbf{Joint-axis inertia for left arm and left leg.} Columns list $I_\text{axis}^\text{subtree}$ (subtree inertia about the joint axis), $I_\text{armature}$ (reflected motor/gear inertia), $I_\text{axis}^\text{eff} = I_\text{axis}^\text{subtree} + I_\text{armature}$, and the percentage of armature in the effective inertia.	
table	Motion tracking hyperparameters	tab:ppo_hyperparameters	reproduction/paper/source/root.tex:769	paper/source and official-code verified	strong	/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.tsv	True	PPO architecture/training values matched to official code.	\textbf{Motion Tracking Hyperparameters}	
table	VAE hyperparameters	tab:vae_hyperparameters	reproduction/paper/source/root.tex:801	paper/source verified; debug probes only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_accumulation_probe/level_c_vae_accumulation_probe.json	True	Paper dimensions/LR/KL/gradient accumulation exercised in synthetic mechanics probes; no official checkpoint.	\textbf{VAE Hyperparameters}	
table	Diffusion policy hyperparameters	tab:diffusion_hyperparameters	reproduction/paper/source/root.tex:827	paper/source verified; debug probes only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/full_transformer_arch_probe/level_c_full_transformer_arch_probe.json	True	Paper Transformer dimensions and schedule probed; no full training/checkpoint.	\textbf{Diffusion Policy Hyperparameters}	
table	Motion segments tested in sim and real	tab:skill_success	reproduction/paper/source/root.tex:859	paper/source indexed; local LAFAN data audited; not reproduced	blocked_or_unreproduced	/mnt/infini-data/test/BeyondMimic/res/paper_skill_success_table_audit/skill_success_table_data_audit.json	True	Table claims sim/real execution coverage; local machine has no real robot and live Kit is blocked. Data audit checks listed LAFAN names and Real intervals against local G1 CSVs and records mismatches.	\textbf{Motion Segments Tested in Sim and Real.}	
method_claim	conditional_vae_elbo	conditional_vae_elbo	reproduction/paper/source/tex/method.tex:151-170	debug/mechanics only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_accumulation_probe/level_c_vae_accumulation_probe.json	True	Conditional VAE dimensions/loss/accumulation are executable on synthetic batches; true DAgger rollout missing.		
method_claim	state_latent_tau_no_reference_conditioning	state_latent_tau_no_reference_conditioning	reproduction/paper/source/tex/method.tex:140-176	debug fixture only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/motion_state_fixture/walk1_subject1_frames_1_180_state_fixture.json	True	State-window fixture and provenance exist; trained VAE latents and teacher rollouts missing.		
method_claim	individual_state_latent_denoising_steps	individual_state_latent_denoising_steps	reproduction/paper/source/tex/method.tex:174-196	debug/mechanics only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/timestep_mask_probe/level_c_timestep_mask_probe.json	True	Independent state/latent timestep schedules exercised; paper-exact deployed masks remain unresolved.		
method_claim	reverse_denoising_update	reverse_denoising_update	reproduction/paper/source/tex/method.tex:197-206	debug/mechanics only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/reverse_denoising_probe/level_c_reverse_denoising_probe.json	True	Oracle reverse loop checks mechanics; trained network and exact sampler coefficients missing.		
method_claim	classifier_guidance_score	classifier_guidance_score	reproduction/paper/source/tex/method.tex:211-226	debug/mechanics only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_formula_probe/level_c_guidance_formula_probe.json	True	Autograd costs and candidate guided reverse-loop are checked; rollout evaluation and scale protocol missing.		
method_claim	hybrid_yaw_character_frame	hybrid_yaw_character_frame	reproduction/paper/source/root.tex:480-535	debug fixture only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/motion_state_fixture/walk1_subject1_frames_1_180_state_fixture.json	True	Candidate representation passes invariance/pseudoinverse checks; full paper-faithful dataset still absent.		
method_claim	ou_perturbation_and_rejection	ou_perturbation_and_rejection	reproduction/paper/source/root.tex:536-546	partial debug probe	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/augmentation_probe/level_c_augmentation_probe.json	True	OU parameters and temporal correlation checked; VAE rollout perturbation and 5s rejection gate missing.		
method_claim	joystick_waypoint_sdf_costs	joystick_waypoint_sdf_costs	reproduction/paper/source/root.tex:548-586	debug/mechanics only	debug_only	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_formula_probe/level_c_guidance_formula_probe.json	True	Joystick, waypoint, SDF, composed cost gradients checked; task rollouts and Fig.5/6 data missing.		
method_claim	sagittal_symmetry_tensorrt_async	sagittal_symmetry_tensorrt_async	reproduction/paper/source/root.tex:588-594	partial debug / blocked deployment	blocked_or_unreproduced	/mnt/infini-data/test/BeyondMimic/res/blocked_gates/blocked_gate_audit.json	True	Symmetry candidate checked; TensorRT/asynchronous RTX4060 deployment cannot be reproduced from local artifacts.		
