goal_section	line_range	requirement	status	evidence	evidence_exists	notes
9 Hard constraints	goal.md:816-920	Avoid result-driven method changes, hidden proxies, fake data/results, and preserve failures.	covered	/mnt/infini-data/test/BeyondMimic/res/paper_table_values/paper_table_value_audit.json; /mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json; /mnt/infini-data/test/BeyondMimic/reproduction/docs/unresolved_details.md	True	Debug-only and blocked statuses are explicit; no long training or fabricated metrics are claimed.
10.1-10.7 Motion tracking spec	goal.md:921-1147	Motion tracking frequency, target bodies, rewards, observation/action, randomization, termination, adaptive sampling.	partial	/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.json; /mnt/infini-data/test/BeyondMimic/res/paper_table_values/paper_table_value_audit.json; /mnt/infini-data/test/BeyondMimic/res/tracking/adaptive_sampling_probe/adaptive_sampling_probe.tsv	True	Static values and official-code config are audited; live rollout and adaptive-sampling paper/code look-back discrepancy remain unresolved.
10.8 Conditional VAE and DAgger	goal.md:1148-1190	Conditional VAE with real DAgger rollout and teacher query.	partial	/mnt/infini-data/test/BeyondMimic/res/level_c/vae_accumulation_probe/level_c_vae_accumulation_probe.json; /mnt/infini-data/test/BeyondMimic/res/paper_table_values/paper_table_value_audit.json; /mnt/infini-data/test/BeyondMimic/reproduction/docs/unresolved_details.md	True	VAE dimensions/loss/accumulation match in debug probe; true DAgger rollout and checkpoint remain missing.
10.9 Diffusion dataset	goal.md:1191-1231	State-latent tau dataset without reference conditioning, OU perturbation, stability rejection, symmetry, provenance, split.	partial	/mnt/infini-data/test/BeyondMimic/res/level_c/motion_state_fixture/walk1_subject1_frames_1_180_state_fixture.json; /mnt/infini-data/test/BeyondMimic/res/level_c/fixture_split_manifest/fixture_split_manifest_summary.json; /mnt/infini-data/test/BeyondMimic/res/level_c/augmentation_probe/level_c_augmentation_probe.json	True	Debug fixture/provenance/OU/symmetry probes exist; trained VAE rollout dataset and live rejection gate are missing.
10.10 State representation	goal.md:1232-1250	Hybrid yaw-centric representation, emphasis projection c=6, pseudoinverse reconstruction.	partial	/mnt/infini-data/test/BeyondMimic/res/level_c/motion_state_fixture/walk1_subject1_frames_1_180_state_fixture.json	True	Candidate fixture passes invariance and pseudoinverse checks; paper-exact full dataset path remains missing.
10.11 Diffusion Transformer	goal.md:1251-1290	Transformer denoiser, independent timesteps, EMA, clean target, 25 Hz controller.	partial	/mnt/infini-data/test/BeyondMimic/res/level_c/full_transformer_arch_probe/level_c_full_transformer_arch_probe.json; /mnt/infini-data/test/BeyondMimic/res/level_c/training_schedule_probe/level_c_training_schedule_probe.json; /mnt/infini-data/test/BeyondMimic/res/level_c/timestep_mask_probe/level_c_timestep_mask_probe.json	True	Paper architecture/schedule/timestep mechanics are probed; full training/checkpoint/deployment is missing.
10.12 Test-time guidance	goal.md:1291-1321	Joystick, waypoint, SDF, inpainting, composed guidance and validation-only scale selection.	partial	/mnt/infini-data/test/BeyondMimic/res/level_c/guidance_formula_probe/level_c_guidance_formula_probe.json; /mnt/infini-data/test/BeyondMimic/res/level_c/guided_reverse_loop_probe/level_c_guided_reverse_loop_probe.json; /mnt/infini-data/test/BeyondMimic/res/level_c/guidance_scale_sweep_probe/level_c_guidance_scale_sweep_probe.json	True	Formula/autograd/debug-loop checks exist; paper-exact validation/test protocol and trained rollouts are missing.
11 Execution phases	goal.md:1322-1549	Run phases 0-10 through final comparison.	partial	/mnt/infini-data/test/BeyondMimic/reproduction/PROGRESS.md; /mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json	True	Phases 0-2 mostly complete; later training/evaluation phases are partial/blocked.
12 Evaluation	goal.md:1550-1634	Report motion tracking, adaptive sampling, VAE, diffusion/guidance, and statistics metrics.	partial	/mnt/infini-data/test/BeyondMimic/res/released_figures/released_figure_summary.tsv; /mnt/infini-data/test/BeyondMimic/res/level_c; /mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json	True	Released-data metrics and debug probe metrics exist; full multi-seed training/evaluation metrics are missing.
13 Paper comparison	goal.md:1635-1701	Create paper-vs-reproduction comparison CSV/MD with comparison types.	covered	/mnt/infini-data/test/BeyondMimic/res/comparison/paper_vs_reproduction.csv; /mnt/infini-data/test/BeyondMimic/res/comparison/paper_vs_reproduction.md; /mnt/infini-data/test/BeyondMimic/res/comparison/paper_vs_reproduction.json; /mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json	True	Comparison CSV/MD/JSON exists for current evidence and marks exact, approximate, qualitative, not-publicly-reproducible, and hardware-required rows explicitly.
14 Coding requirements	goal.md:1702-1746	Type hints, docstrings, configs, tests, math unit tests.	partial	/mnt/infini-data/test/BeyondMimic/reproduction/scripts; /mnt/infini-data/test/BeyondMimic/res/master_audit/reproduction_master_audit.json	True	Audit/probe scripts are typed and compile; full reimplementation package/tests are not complete.
15 Result and run management	goal.md:1747-1790	Run IDs, run directories, resolved configs, logs, metrics, checkpoints, videos.	partial	/mnt/infini-data/test/BeyondMimic/reproduction/PROGRESS.md; /mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json	True	Audit/probe outputs are organized; full training run directories/checkpoints/videos are absent because training phases are blocked/incomplete.
16 Final deliverables	goal.md:1791-1868	Environment locks, code, experiments, docs, final report with official/reimpl/resource boundaries.	partial	/mnt/infini-data/test/BeyondMimic/reproduction/docs/final_reproduction_report.md; /mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json	True	Consolidated report exists; full checkpoints, videos, multi-seed statistics, and trained reimplementation artifacts remain missing.
17 Mandatory progress report	goal.md:1869-1906	Update PROGRESS.md with detailed stage status.	covered	/mnt/infini-data/test/BeyondMimic/reproduction/PROGRESS.md	True	Progress report is maintained with commands, outputs, metrics, risks, and next-stage notes.
18 Initial action	goal.md:1907-1950	Start with audit/environment, then continue released figures, tracking, VAE, diffusion, guidance, ablations, comparison, final report.	partial	/mnt/infini-data/test/BeyondMimic/res/master_audit/reproduction_master_audit.json; /mnt/infini-data/test/BeyondMimic/res/final_report/final_reproduction_report.json	True	Audit/environment/released-data/final evidence reports are complete; full training/evaluation phases are still partial/blocked.
